id,limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,model_probability,mistrust_score,decision_tag,actual_default
8942,230000.0,1,2,2,30,0,0,0,0,0,0,101832.0,92396.0,84297.0,49681.0,46224.0,44800.0,5000.0,4000.0,2029.0,2000.0,2500.0,1300.0,0.1660758311978796,0.1774070956144829,SAFE,0
17619,80000.0,2,1,1,32,-1,3,2,-1,0,0,4927.0,4693.0,3342.0,4844.0,3728.0,2612.0,0.0,0.0,4844.0,0.0,0.0,0.0,0.31056839496445493,0.4373351205735354,SAFE,1
27896,100000.0,2,1,2,29,0,0,0,0,0,0,167410.0,85536.0,77303.0,60178.0,56436.0,51773.0,70001.0,3769.0,2008.0,1950.0,2001.0,18000.0,0.08007863558337906,0.12137002556247543,SAFE,0
16104,10000.0,2,2,1,37,-1,4,3,2,2,2,3305.0,2870.0,2440.0,2510.0,2641.0,2222.0,0.0,0.0,500.0,400.0,0.0,36.0,0.359188044021661,0.5195646827753096,SAFE,0
4423,110000.0,2,2,1,34,0,0,0,0,0,0,24147.0,25750.0,27012.0,27762.0,32126.0,37779.0,2000.0,2000.0,1500.0,5000.0,6400.0,0.0,0.24378521609388937,0.31294246404190607,SAFE,0
3834,130000.0,2,3,2,23,-1,0,0,0,0,0,5719.0,15578.0,19887.0,11659.0,11735.0,8541.0,10000.0,5000.0,2000.0,2000.0,2000.0,1000.0,0.10186576881645895,0.24109286667222254,SAFE,0
26190,250000.0,2,1,2,37,-1,-1,-1,-1,-1,-1,1291.0,1391.0,3498.0,8963.0,0.0,14660.0,1391.0,3498.0,8963.0,0.0,14660.0,62832.0,0.09045316194336668,0.22235884357341976,SAFE,0
25055,20000.0,1,2,2,49,0,0,0,0,-1,-1,18260.0,19080.0,18871.0,17700.0,390.0,1320.0,1621.0,1292.0,1166.0,390.0,1320.0,0.0,0.2515834876861287,0.634735625492271,SAFE,1
23469,50000.0,2,2,1,39,1,2,2,2,2,2,16983.0,16413.0,21128.0,20492.0,30079.0,29460.0,0.0,5000.0,0.0,10000.0,0.0,10000.0,0.4776300470225087,0.40645640112749204,SAFE,1
11872,80000.0,1,1,1,33,0,0,0,0,0,0,75593.0,71643.0,49481.0,38427.0,34683.0,159.0,2503.0,1508.0,1500.0,1600.0,279.0,0.0,0.2728007762972579,0.20293620610945126,SAFE,0
4907,340000.0,2,2,1,46,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05487735102940935,0.34966957153373945,SAFE,0
29235,10000.0,1,2,2,23,0,0,2,0,0,0,2427.0,6109.0,2736.0,3654.0,3729.0,9446.0,3775.0,0.0,1000.0,75.0,994.0,0.0,0.2704427569685064,0.5039537702811006,SAFE,1
6860,100000.0,1,1,2,32,0,0,0,0,0,0,26127.0,26608.0,24689.0,25699.0,26809.0,25836.0,2000.0,2000.0,1700.0,1500.0,1500.0,1700.0,0.26413555938044914,0.27987144924760227,SAFE,0
